,Day,Time,Meeting_Name,Location,Address,Region,Types
15,Monday,6:30 am,FAST BREAK WEST PROMISES," 626 N ROBERTSON BL WEST HOLLYWOOD, CA 90069",626 N Robertson Blvd,WEST HOLLYWOOD,"Discussion, Open, Wheelchair Access"
16,Monday,6:30 am,ATTITUDE ADJUSTMENT," GATE 7 ARCADIA, CA 91007",Baldwin / Gate 7,ARCADIA,Open
17,Monday,6:45 am,ATTITUDE ADJUSTMENT," 12130 BIRCH AVE HAWTHORNE, CA 90250",12130 Birch Ave,HAWTHORNE,"Open, Wheelchair Access"
18,Monday,6:45 am,STEP WORKSHOP," 12720 WASHINGTON BLVD CULVER WEST, CA 90066",12720 Washington Blvd,CULVER WEST,"Open, Wheelchair Access"
19,Monday,6:45 am,GREAT WAY TO START THE DAY," 13650 MINDANAO WAY MARINA DEL REY, CA 90292",13650 Mindanao Way,MARINA DEL REY,"Big Book, Closed, Discussion, Speaker, Wheelchair Access"
20,Monday,6:45 am,DAWN PATROL," 1655 BERKELEY AVE POMONA, CA 91768",1655 Berkeley Ave,POMONA,Open
21,Monday,6:45 am,SPIRITUAL DISCUSSION," 21044 SHERMAN WAY CANOGA PARK, CA 91303",21044 Sherman Way,CANOGA PARK,Open
22,Monday,6:45 am,EARLY MORNING," 702 11TH PL HERMOSA BEACH, CA 90254",702 11th Pl,HERMOSA BEACH,Open
23,Monday,7:00 am,UNIT A EYE OPENER," 10641 BURBANK BLVD NORTH HOLLYWOOD, CA 91601",10641 Burbank Blvd,NORTH HOLLYWOOD,Open
24,Monday,7:00 am,SUN UP A A," 1161 E COVINA BL COVINA, CA 91724",1161 E Covina Blvd,COVINA,Open
25,Monday,7:00 am,EYE OPENER GROUP," 123 W WINDSOR RD GLENDALE, CA 91204",123 W Windsor Rd,GLENDALE,"Discussion, Open, Wheelchair Access"
26,Monday,7:00 am,," 15215 SUNSET BLVD PACIFIC PALISADES, CA 90272",15215 Sunset Blvd,PACIFIC PALISADES,"Closed, Men"
27,Monday,7:00 am,," 233 W HARRISON AVE CLAREMONT, CA 91711",233 W Harrison Ave,CLAREMONT,"Open, Women"
28,Monday,7:00 am,GOOD MORNING MALIBU," 24250 PACIFIC COAST HWY MALIBU, CA 90265",Malibu Bluffs Park,MALIBU,Open
29,Monday,7:00 am,SAPPHIRE ST. BEACH ATTITUDE ADJ," 243 S BROADWAY REDONDO BEACH, CA 90277",243 S Broadway,REDONDO BEACH,"Closed, Discussion, Wheelchair Access"
30,Monday,7:00 am,SUNRISE ATTITUDE ADJ," 25401 S WESTERN AVE LOMITA/WILMINGTON, CA 90717",25401 S Western Ave,LOMITA/WILMINGTON,Open
31,Monday,7:00 am,DAILY MEDITATION," 2667 N MOORPARK RD #105 THOUSAND OAKS, CA 91360",2667 N Moorpark Rd #105,THOUSAND OAKS,Closed
32,Monday,7:00 am,SHIVERING DENIZENS," 2900 SUNSET BLVD SILVERLAKE, CA 90026",2900 Sunset Blvd,SILVERLAKE,Open
33,Monday,7:00 am,SHAKERS PARTICIPATION," 315 VINE ST GLENDALE, CA 91204",315 Vine St,GLENDALE,Open
34,Monday,7:00 am,PATHFINDERS EARLY BIRDS," 3367 GLENDALE BLVD ATWATER, CA 90039",3367 Glendale Blvd,ATWATER,"Open, Wheelchair Access"
35,Monday,7:00 am,SERENITY BY THE SEA," 400 S SEPULVEDA BLVD EL SEGUNDO, CA 90245",400 S Sepulveda Blvd,EL SEGUNDO,Open
36,Monday,7:00 am,MONDAY ATTITUDE ADJUSTMENT," 401 N BULLIS RD COMPTON, CA 90221",401 N Bullis Rd,COMPTON,Closed
37,Monday,7:00 am,12&12," 4038 W MARTIN LUTHER KING JR BLVD CRENSHAW/LEIMERT PARK, CA 90008",4038 W Martin Luther King Jr Blvd,CRENSHAW/LEIMERT PARK,"Big Book, Closed, LGBTQ, Newcomer, Wheelchair Access, Young People"
38,Monday,7:00 am,HOLLYWOOD EARLY SHOW," 4274 MELROSE AVE HOLLYWOOD, CA 90029",4274 Melrose Ave,HOLLYWOOD,"Big Book, Discussion, Newcomer, Open, Wheelchair Access, Young People"
39,Monday,7:00 am,BACK TO BASICS," 4808 CRENSHAW BLVD CRENSHAW/LEIMERT PARK, CA 90043",4808 Crenshaw Blvd,CRENSHAW/LEIMERT PARK,"Big Book, Open, Wheelchair Access"
40,Monday,7:00 am,WINNERS ATTITUDE ADJ," 5000 COLFAX AVE NORTH HOLLYWOOD, CA 91601",5000 Colfax Ave,NORTH HOLLYWOOD,"Open, Wheelchair Access"
41,Monday,7:00 am,MARINA P ATTITUDE ADJ," 5107 E OCEAN BL LONG BEACH, CA 90803",5107 E Ocean Blvd,LONG BEACH,"Discussion, Open"
42,Monday,7:00 am,MONDAY MORNING KICKOFF," 801 VIA DE LA PAZ PACIFIC PALISADES, CA 90272",801 Vía De La Paz,PACIFIC PALISADES,"Open, Wheelchair Access"
43,Monday,7:00 am,EYE OPENER," 8728 CORBIN AVE NORTHRIDGE, CA 91324",8728 Corbin Ave,NORTHRIDGE,"Open, Wheelchair Access"
44,Monday,7:00 am,SHARING AT DAWN," 901 HAVERFORD AVE PACIFIC PALISADES, CA 90272",901 Haverford Ave,PACIFIC PALISADES,Closed
45,Monday,7:00 am,EARLY RISERS," 9604 S FIGUEROA ST LOS ANGELES SOUTH, CA 90003",9604 S Figueroa St,LOS ANGELES SOUTH,Open
46,Monday,7:15 am,A GATHERING OF MEN," 11042 VENTURA BLVD STUDIO CITY, CA 91604",11042 Ventura Blvd,STUDIO CITY,Open
47,Monday,7:15 am,GATEWAY DAILY REFLECTIONS," 11530 W PICO BLVD WEST L A, CA 90064",11530 Pico Blvd,WEST L A,"Discussion, Open, Speaker"
48,Monday,7:15 am,GROUNDED," 316 W 3RD ST LOS ANGELES DOWNTOWN, CA 90013",316 W 3rd St,LOS ANGELES DOWNTOWN,"Discussion, Open"
49,Monday,7:15 am,DAILY REFLECTIONS," 3301 PICO BLVD SANTA MONICA, CA 90405",3301 Pico Blvd,SANTA MONICA,"Big Book, Closed, Discussion, Speaker"
50,Monday,7:30 am,11TH STEP MORNING MEDITATION," 1260 18TH ST SANTA MONICA, CA 90404",1260 18th St,SANTA MONICA,"Discussion, Open"
51,Monday,7:30 am,THE PROMISES," 1773 GRIFFITH PARK BLVD SILVERLAKE, CA 90026",1773 Griffith Park Blvd,SILVERLAKE,"LGBTQ, Open"
52,Monday,7:30 am,JUMPSTART STEP STUDY," 1812 VERDUGO BLVD GLENDALE, CA 91208",1812 Verdugo Blvd,GLENDALE,"Big Book, Closed, Wheelchair Access"
53,Monday,7:30 am,On Awakening Women's, 5870 W Olympic Blvd,5870 W Olympic Blvd,MIRACLE MILE,"12 Steps & 12 Traditions, Open, Wheelchair Access"
54,Monday,7:30 am,PROMISES," 621 N ROBERTSON BL WEST HOLLYWOOD, CA 90069",621 N Robertson Blvd,WEST HOLLYWOOD,"Discussion, Open, Speaker"
55,Monday,7:30 am,WHAT IT'S LIKE NOW SPKR / PARTICIPATION," 7501 HOLLYWOOD BLVD HOLLYWOOD WEST, CA 90046",7501 Hollywood Blvd,HOLLYWOOD WEST,"Child-Friendly, LGBTQ, Open, Speaker, Wheelchair Access"
56,Monday,8:00 am,PARTICIPATION," 1645 ARLINGTON AVE TORRANCE, CA 90501",1645 Arlington Ave,TORRANCE,"Open, Wheelchair Access"
57,Monday,8:00 am,HARBOR ATTITUDE ADJUSTMENT," 411 W 10TH ST SAN PEDRO, CA 90731",411 W 10th St,SAN PEDRO,Open
58,Monday,8:30 am,BLISS FOR A DAY," 1249 VINE ST HOLLYWOOD, CA 90038",1249 Vine St,HOLLYWOOD,"Discussion, Open, Speaker"
59,Monday,8:30 am,MONDAY MORNING STEP STUDY," 2900 SUNSET BLVD SILVERLAKE, CA 90026",2900 Sunset Blvd,SILVERLAKE,"Open, Wheelchair Access"
60,Monday,8:30 am,MONDAY 8:30 BIG BOOK," 901 HAVERFORD AVE PACIFIC PALISADES, CA 90272",901 Haverford Ave,PACIFIC PALISADES,Closed
61,Monday,8:45 am,MON. REFLECTION & MEDITATION," 11530 W PICO BLVD WEST L A, CA 90064",11530 Pico Blvd,WEST L A,"Big Book, Closed, Discussion, Speaker"
62,Monday,8:45 am,MORNING REFLECTIONS," 3301 PICO BLVD SANTA MONICA, CA 90405",3301 Pico Blvd,SANTA MONICA,"Closed, Discussion, Speaker"
63,Monday,9:00 am,ALL ARE WELCOME," 10641 BURBANK BLVD NORTH HOLLYWOOD, CA 91601",10641 Burbank Blvd,NORTH HOLLYWOOD,"Big Book, Discussion, Open, Wheelchair Access"
64,Monday,9:00 am,MORNING REFLECTIONS," 1234 PACIFIC AVE VENICE, CA 90291",1234 Pacific Ave,VENICE,"Discussion, Open"
65,Monday,9:00 am,GOOD MORNING DISCUSSION," 12355 MOORPARK ST STUDIO CITY, CA 91604",12355 Moorpark St,STUDIO CITY,"Discussion, Open"
66,Monday,9:00 am,GOOD MORNING DISCUSSION," 13627 VICTORY BLVD (REAR ENT) VAN NUYS, CA 91401",13627 Victory Blvd,VAN NUYS,Open
67,Monday,9:00 am,RAFTERS DISCUSSION," 24307 RAILROAD AVE NEWHALL, CA 91321",24307 Railroad Ave,NEWHALL,Open
68,Monday,9:00 am,COFFEE POT & RESENTMENT," 5000 COLFAX AVE NORTH HOLLYWOOD, CA 91601",5000 Colfax Ave,NORTH HOLLYWOOD,"Discussion, Open, Speaker, Wheelchair Access"
69,Monday,9:00 am,OPEN DOOR," 509 W AVE H-8 LANCASTER, CA 93534",509 W Ave H 8,LANCASTER,"Big Book, Discussion, Newcomer, Open, Speaker, Wheelchair Access, Young People"
70,Monday,9:00 am,FREEDOM," 8728 CORBIN AVE NORTHRIDGE, CA 91324",8728 Corbin Ave,NORTHRIDGE,Open
71,Monday,9:30 am,," 10497 WILSHIRE BLVD WESTWOOD, CA 90024",10497 Wilshire Blvd,WESTWOOD,"Big Book, Closed, Women"
72,Monday,9:30 am,," 15215 SUNSET BLVD PACIFIC PALISADES, CA 90272",15215 Sunset Blvd,PACIFIC PALISADES,"Closed, Women"
73,Monday,9:30 am,47TH & MAIN ST. GROUP," 4038 W MARTIN LUTHER KING JR BLVD CRENSHAW/LEIMERT PARK, CA 90008",4038 W Martin Luther King Jr Blvd,CRENSHAW/LEIMERT PARK,Open
74,Monday,9:30 am,," 626 FOOTHILL BLVD LA CANADA, CA 91011",626 Foothill Blvd,LA CANADA,"Child-Friendly, Closed, Discussion, Women"
75,Monday,9:30 am,MIDMORNING REFLECTIONS," 702 11TH PL HERMOSA BEACH, CA 90254",702 11th Pl,HERMOSA BEACH,"Discussion, Open, Wheelchair Access"
76,Monday,10:00 am,BIG BOOK STUDY," 12336 PENN ST WHITTIER, CA 90602",12336 Penn St,WHITTIER,"Open, Wheelchair Access"
77,Monday,10:00 am,KEEP IT REEL," 1249 VINE ST HOLLYWOOD, CA 90038",1249 Vine St,HOLLYWOOD,"Big Book, Discussion, Newcomer, Open, Speaker, Wheelchair Access"
78,Monday,10:00 am,BIG BOOK/12&12 STUDY," 2518 W BEVERLY BLVD MONTEBELLO, CA 90640",2518 W Beverly Blvd,MONTEBELLO,"Big Book, Discussion, Open, Wheelchair Access"
79,Monday,10:00 am,," 4011 DUNSMORE AVE LA CRESCENTA, CA 91214",4011 Dunsmore Ave,LA CRESCENTA,"Closed, Women"
80,Monday,10:30 am,SPIRTUAL SOLUTIONS," 12355 MOORPARK ST STUDIO CITY, CA 91604",12355 Moorpark St,STUDIO CITY,"Discussion, Open"
81,Monday,10:30 am,DISCUSSION," 15911 E MAIN ST LA PUENTE, CA 91744",15911 Main St,LA PUENTE,"Open, Wheelchair Access"
82,Monday,10:30 am,," 233 W HARRISON AVE CLAREMONT, CA 91711",233 W Harrison Ave,CLAREMONT,"Closed, Women"
83,Monday,10:30 am,WE ARE RESPONSIBLE B B STDY," 5000 COLFAX AVE NORTH HOLLYWOOD, CA 91601",5000 Colfax Ave,NORTH HOLLYWOOD,"Big Book, Closed"
84,Monday,10:30 am,," 920 FREMONT AVE SOUTH PASADENA, CA 91030",920 Fremont Ave,SOUTH PASADENA,"Big Book, Closed, Discussion, Speaker, Women"
85,Monday,11:00 am,DAY LITE," 5881 CHERRY AVE LONG BEACH, CA 90805",5881 Cherry Ave,LONG BEACH,Open
86,Monday,11:00 am,," 702 11TH PL HERMOSA BEACH, CA 90254",702 11th Pl,HERMOSA BEACH,"Men, Open"
87,Monday,11:30 am,VETERANS NOONER," 11301 WILSHIRE BLVD WEST L A, CA 90073",11301 Wilshire Blvd,WEST L A,Open
88,Monday,11:30 am,TOPIC DISCUSSION," 12130 BIRCH AVE HAWTHORNE, CA 90250",12130 Birch Ave,HAWTHORNE,"Open, Wheelchair Access"
89,Monday,11:30 am,SERENITY WITH SOBRIETY," 6425 TYRONE AVE VAN NUYS, CA 91401",6425 Tyrone Ave,VAN NUYS,"Discussion, Open"
90,Monday,Noon,KEEP IT SIMPLE," 10544 DOWNEY AVE DOWNEY, CA 90241",10544 Downey Ave,DOWNEY,Open
91,Monday,Noon,DISCUSSION," 11455 CHANDLER BLVD NORTH HOLLYWOOD, CA 91601",11455 Chandler Blvd,NORTH HOLLYWOOD,"Open, Wheelchair Access"
92,Monday,Noon,PARTICIPATION," 11530 W PICO BLVD WEST L A, CA 90064",11530 Pico Blvd,WEST L A,Open
93,Monday,Noon,," 11819 WILSHIRE BLVD STE 206 WEST L A, CA 90025",11819 Wilshire Blvd #206,WEST L A,"Men, Open"
94,Monday,Noon,TURNING POINT," 1233 E 4TH ST LONG BEACH, CA 90802",1233 W 4th St,LONG BEACH,Open
95,Monday,Noon,GOOD DAY SPEAKER," 12355 MOORPARK ST STUDIO CITY, CA 91604",12355 Moorpark St,STUDIO CITY,"Open, Wheelchair Access"
96,Monday,Noon,T M I CROSSTALK," 1249 VINE ST HOLLYWOOD, CA 90038",1249 Vine St,HOLLYWOOD,"Discussion, Open"
97,Monday,Noon,PACOIMA PARTICIPATION," 12502 VAN NUYS BLVD #109 PACOIMA/ARLETA, CA 91331",12502 Van Nuys Blvd #109,PACOIMA/ARLETA,"Discussion, Open, Wheelchair Access"
98,Monday,Noon,STEP STUDY," 12720 WASHINGTON BLVD CULVER WEST, CA 90066",12720 Washington Blvd,CULVER WEST,"Open, Wheelchair Access"
99,Monday,Noon,PARTICIPATION," 13627 VICTORY BLVD (REAR ENT) VAN NUYS, CA 91401",13627 Victory Blvd,VAN NUYS,Open
100,Monday,Noon,MONDAY SOLUTIONS," 1458 26TH ST SANTA MONICA, CA 90404",1458 26th St,SANTA MONICA,"Discussion, Open, Speaker, Wheelchair Access"
101,Monday,Noon,MONDAY NOON MEETING," 160 N EL MOLINO AVE PASADENA, CA 91101",160 N El Molino Ave,PASADENA,Open
102,Monday,Noon,WE CARE," 1645 ARLINGTON AVE TORRANCE, CA 90501",1645 Arlington Ave,TORRANCE,"Open, Wheelchair Access"
103,Monday,Noon,DISCUSSION," 1655 BERKELEY AVE POMONA, CA 91768",1655 Berkeley Ave,POMONA,Open
104,Monday,Noon,PARTICIPATION," 1773 GRIFFITH PARK BLVD SILVERLAKE, CA 90026",1773 Griffith Park Blvd,SILVERLAKE,"LGBTQ, Open"
105,Monday,Noon,OUT TO LUNCH BUNCH," 2049 CENTURY PARK EAST CENTURY CITY, CA 90067",2049 Century Park E,CENTURY CITY,"Open, Speaker, Wheelchair Access"
106,Monday,Noon,PARTICIPATION," 21044 SHERMAN WAY CANOGA PARK, CA 91303",21044 Sherman Way,CANOGA PARK,Open
107,Monday,Noon,RAFTERS DISCUSION," 24307 RAILROAD AVE NEWHALL, CA 91321",24307 Railroad Ave,NEWHALL,"Discussion, Open"
108,Monday,Noon,," 2501 COLORADO AVE SANTA MONICA, CA 90404",2501 Colorado Ave,SANTA MONICA,"Men, Open, Wheelchair Access"
109,Monday,Noon,BIG BOOK STUDY," 255 S HILL ST LOS ANGELES DOWNTOWN, CA 90012",255 S Hill St,LOS ANGELES DOWNTOWN,"Big Book, Open, Wheelchair Access"
110,Monday,Noon,PARTICIPATION," 2575 PALOMA ST PASADENA, CA 91107",2575 Paloma St,PASADENA,Open
111,Monday,Noon,THANK GOD ITS MONDAY," 2667 N MOORPARK RD #105 THOUSAND OAKS, CA 91360",2667 N Moorpark Rd #105,THOUSAND OAKS,Open
112,Monday,Noon,," 2700 WILSHIRE BLVD SANTA MONICA, CA 90403",2700 Wilshire Blvd,SANTA MONICA,"Men, Open, Wheelchair Access"
113,Monday,Noon,ZUMA BEACH GROUP," 30128 MORNING VIEW DR MALIBU, CA 90265",30128 Morning View Dr,MALIBU,"Open, Wheelchair Access"
114,Monday,Noon,FEELINGS TODAY GROUP," 339 SHELDON ST EL SEGUNDO, CA 90245",339 Sheldon St,EL SEGUNDO,"Discussion, Open, Wheelchair Access"
115,Monday,Noon,SPIRITUAL SEARCH," 3401 SERRA RD MALIBU, CA 90265",3401 Serra Rd,MALIBU,"Open, Wheelchair Access"
116,Monday,Noon,A B C OF A A," 401 N BULLIS RD COMPTON, CA 90221",401 N Bullis Rd,COMPTON,Open
117,Monday,Noon,BIG BOOK STUDY," 4011 DUNSMORE AVE LA CRESCENTA, CA 91214",4011 Dunsmore Ave,LA CRESCENTA,Open
118,Monday,Noon,QUESTIONS & ANSWERS," 4038 W MARTIN LUTHER KING JR BLVD CRENSHAW/LEIMERT PARK, CA 90008",4038 W Martin Luther King Jr Blvd,CRENSHAW/LEIMERT PARK,"Discussion, Open, Wheelchair Access"
119,Monday,Noon,12 NOON PARTICIPATION," 4165 E LIVE OAK ARCADIA, CA 91006",4165 Live Oak Ave,ARCADIA,Closed
120,Monday,Noon,OPEN DOOR," 509 W AVE H-8 LANCASTER, CA 93534",509 W Ave H 8,LANCASTER,"Discussion, Newcomer, Open, Speaker, Wheelchair Access, Young People"
121,Monday,Noon,1 HOUR MEETING," 5934 TEMPLE CITY BLVD TEMPLE CITY, CA 91780",5934 Temple City Blvd,TEMPLE CITY,Open
122,Monday,Noon,WORK IN PROGRESS," 626 N ROBERTSON BL WEST HOLLYWOOD, CA 90069",626 N Robertson Blvd,WEST HOLLYWOOD,"Discussion, LGBTQ, Open, Speaker, Wheelchair Access"
123,Monday,Noon,12 NOON BEGINNERS MEETING," 6333 W 3RD ST FAIRFAX/LA BREA, CA 90036",6333 W 3rd St,FAIRFAX/LA BREA,"Discussion, Newcomer, Open, Speaker"
124,Monday,Noon,LUNCH BUNCH," 637 S VICTORY BLVD BURBANK, CA 91506",637 S Victory Blvd,BURBANK,"Discussion, Open, Wheelchair Access"
125,Monday,Noon,HOLE IN THE GROUND," 6909 S RUGBY HUNTINGTON PARK, CA 90255",6909 Rugby Ave,HUNTINGTON PARK,Open
126,Monday,Noon,12 NOONERS," 835 E 33RD ST LONG BEACH, CA 90755",835 E 33rd St,LONG BEACH,"Open, Wheelchair Access"
127,Monday,Noon,OLD TIMER'S MEETING," 8728 CORBIN AVE NORTHRIDGE, CA 91324",8728 Corbin Ave,NORTHRIDGE,Open
128,Monday,Noon,RAINBOW MEETING," 9015 W SUNSET BL WEST HOLLYWOOD, CA 90069",9015 Sunset Blvd,WEST HOLLYWOOD,"Discussion, Open, Speaker"
129,Monday,Noon,," 9604 S FIGUEROA ST LOS ANGELES SOUTH, CA 90003",9604 S Figueroa St,LOS ANGELES SOUTH,"Closed, Wheelchair Access, Women"
130,Monday,Noon,STEP IT UP MEETING OF A A," 9930 S SANTA MONICA BEVERLY HILLS, CA 90212",9930 S Santa Monica Blvd,BEVERLY HILLS,"Big Book, Closed, Discussion, Speaker"
131,Monday,12:15 pm,," 17200 VENTURA BLVD ENCINO, CA 91316",17200 Ventura Blvd,ENCINO,"Men, Open"
132,Monday,12:15 pm,," 4117 OVERLAND AVE CULVER CITY, CA 90230",4117 Overland Ave,CULVER CITY,"Closed, Wheelchair Access, Women"
133,Monday,12:30 pm,GRASS ROOTS PARTICIPATION," 123 W WINDSOR RD GLENDALE, CA 91204",123 W Windsor Rd,GLENDALE,"Open, Wheelchair Access"
134,Monday,12:30 pm,CENTRAL TOWERS LUNCH," 1424 4TH ST SANTA MONICA #213, CA 90401",1424 4th St #213,SANTA MONICA,"Discussion, Open, Speaker"
135,Monday,12:30 pm,HIGH NOON PATHFINDERS," 3367 GLENDALE BLVD ATWATER, CA 90039",3367 Glendale Blvd,ATWATER,"Open, Wheelchair Access"
136,Monday,12:30 pm,PARTICIPATION," 510 S 2ND AVE COVINA, CA 91723",510 S 2nd Ave,COVINA,"Open, Wheelchair Access"
137,Monday,12:30 pm,NOT IN CONTROL STEP DISCUSION," 633 KENSINGTON RD SANTA MONICA, CA 90405",633 Kensington Rd,SANTA MONICA,Open
138,Monday,1:00 pm,," 1260 18TH ST SANTA MONICA, CA 90404",1260 18th St,SANTA MONICA,"Big Book, Child-Friendly, Closed, Discussion, Women"
139,Monday,1:00 pm,HOMEBOY SPEAKER," 130 W BRUNO ST LOS ANGELES DOWNTOWN, CA 90012",130 Bruno St,LOS ANGELES DOWNTOWN,"Discussion, Open, Speaker, Wheelchair Access"
140,Monday,1:00 pm,SUNLIGHT OF THE SPIRIT," 621 N ROBERTSON BL WEST HOLLYWOOD, CA 90069",621 N Robertson Blvd,WEST HOLLYWOOD,"Discussion, Open, Speaker"
141,Monday,1:00 pm,COMEDY MEETING," 8433 SUNSET BLVD WEST HOLLYWOOD, CA 90069",8433 Sunset Blvd,WEST HOLLYWOOD,"Discussion, Open, Speaker"
142,Monday,1:30 pm,SENIORS FOR SOBRIETY," 132 N EUCLID AVE PASADENA, CA 91101",132 N Euclid Ave,PASADENA,"Open, Wheelchair Access"
143,Monday,2:00 pm,TOPIC DISCUSSION," 12336 PENN ST WHITTIER, CA 90602",12336 Penn St,WHITTIER,Open
144,Monday,2:00 pm,," 5300 CREST RD RANCHO PALOS VERDES/ROLLING HILLS, CA 90274",5300 Crest Rd,RANCHO PALOS VERDES/ROLLING HILLS,"Closed, Wheelchair Access, Women"
145,Monday,2:00 pm,RAINY DAY," 5881 CHERRY AVE LONG BEACH, CA 90805",5881 Cherry Ave,LONG BEACH,Closed
146,Monday,2:30 pm,GOOD TIMES GROUP MONDAY," 1249 VINE ST HOLLYWOOD, CA 90038",1249 Vine St,HOLLYWOOD,"Discussion, Newcomer, Open, Speaker"
147,Monday,2:30 pm,OUTRIGHT MENTAL DEFECTIVES," 3367 GLENDALE BLVD ATWATER, CA 90039",3367 Glendale Blvd,ATWATER,"Discussion, Open, Wheelchair Access"
148,Monday,3:00 pm,HAPPY JOYOUS AT THREE," 12355 MOORPARK ST STUDIO CITY, CA 91604",12355 Moorpark St,STUDIO CITY,Open
149,Monday,3:00 pm,EASY DOES IT," 8728 CORBIN AVE NORTHRIDGE, CA 91324",8728 Corbin Ave,NORTHRIDGE,Open
150,Monday,4:00 pm,AS BILL SEES IT," 2518 W BEVERLY BLVD MONTEBELLO, CA 90640",2518 W Beverly Blvd,MONTEBELLO,"Big Book, Discussion, Open, Wheelchair Access"
151,Monday,4:00 pm,HAPPY RETREADS," 702 11TH PL HERMOSA BEACH, CA 90254",702 11th Pl,HERMOSA BEACH,Open
152,Monday,4:30 pm,AFTER SCHOOL SPECIAL," 1249 VINE ST HOLLYWOOD, CA 90038",1249 Vine St,HOLLYWOOD,"Closed, Discussion, Newcomer, Speaker, Wheelchair Access"
153,Monday,4:30 pm,MONDAY HAPPY HOUR," 3367 GLENDALE BLVD ATWATER, CA 90039",3367 Glendale Blvd,ATWATER,"Open, Wheelchair Access"
154,Monday,4:30 pm,MORE ABOUT ALCOHOLISM," 6720 MELROSE AVE HOLLYWOOD, CA 90038",6720 Melrose Ave,HOLLYWOOD,"Big Book, Closed, Discussion"
155,Monday,5:00 pm,DISCUSSION," 15911 E MAIN ST LA PUENTE, CA 91744",15911 Main St,LA PUENTE,Open
156,Monday,5:00 pm,HAPPY HOUR," 1655 BERKELEY AVE POMONA, CA 91768",1655 Berkeley Ave,POMONA,Open
157,Monday,5:00 pm,BACK TO BASICS," 401 N BULLIS RD COMPTON, CA 90221",401 N Bullis Rd,COMPTON,Open
158,Monday,5:00 pm,HAPPY HOUR," 510 S 2ND AVE COVINA, CA 91723",510 S 2nd Ave,COVINA,Open
159,Monday,5:05 pm,50 MINUTE B B STUDY PAGES 1-164," 633 KENSINGTON RD SANTA MONICA, CA 90405",633 Kensington Rd,SANTA MONICA,"Big Book, Discussion, Newcomer, Open, Wheelchair Access"
160,Monday,5:15 pm,BIG BOOK STUDY," 140 E PALM MONROVIA, CA 91016",140 E Palm Ave,MONROVIA,Open
161,Monday,5:30 pm,THREE TOPIC," 12130 BIRCH AVE HAWTHORNE, CA 90250",12130 Birch Ave,HAWTHORNE,"Discussion, Open, Wheelchair Access"
162,Monday,5:30 pm,ROUND TABLE STEP STUDY," 123 W WINDSOR RD GLENDALE, CA 91204",123 W Windsor Rd,GLENDALE,Closed
163,Monday,5:30 pm,PACOIMA PARTICIPATION," 12502 VAN NUYS BLVD #109 PACOIMA/ARLETA, CA 91331",12502 Van Nuys Blvd #109,PACOIMA/ARLETA,Open
164,Monday,5:30 pm,," 12720 WASHINGTON BLVD CULVER WEST, CA 90066",12720 Washington Blvd,CULVER WEST,"Big Book, Discussion, Open, Speaker, Women"
165,Monday,5:30 pm,RAFTERS AS BILL SEES IT," 24307 RAILROAD AVE NEWHALL, CA 91321",24307 Railroad Ave,NEWHALL,Open
